"State","District","Women.Age.Group.15.To.49.Years.Who.Are.Anaemic","Women.Suffering.From.High.Blood.Sugar.Level","Children.Age.Group.6.To.59.Months.Who.Are.Anaemic","Women.With.Body.Mass.Index..Bmi..Below.Normal","Prevalence.Of.Symptoms.Of.Acute.Respiratory.Infection..Ari..In.The.2.Weeks.Preceding.The.Survey","Women.Age.Group.15.To.19.Years.Who.Were.Already.Mothers.Or.Pregnant.At.The.Time.Of.The.Survey","Women.Mildly.Elevated.Blood.Pressure","Women.Moderately.Or.Severely.Elevated.Blood.Pressure","Children.Under.5.Years.Who.Are.Severely.Wasted..Weight.For.Height","Children.Age.Group.12.To.23.Months.Who.Have.Received.Bacillus.Calmette.Guerin..Bcg","Female.Population.Age.6.Years.And.Above.Who.Ever.Attended.School"
"Uttar Pradesh","Mau",44.3,4.8,62.7,16.5,2.6,0.3,16.3,5.2,9.6,98.8,68.8
"Uttar Pradesh","Meerut",45.5,5.8,55.2,12.8,2,2.4,12.6,5.5,2.1,97.8,74
"Uttar Pradesh","Mirzapur",42.1,3.8,59.8,20.9,2.6,2.4,13.7,6.3,3.3,92.9,69
"Uttar Pradesh","Moradabad",44.9,5.2,67.6,13.4,2.2,1.5,13.6,6.4,9.8,97.2,67.6
"Uttar Pradesh","Muzaffarnagar",46,5.5,65.4,11.1,0.5,1,14.9,5,9.9,91.1,69.1
"Uttar Pradesh","Pilibhit",52,5,57.3,16.4,3.7,4.6,11.8,5.5,7.5,97,60.1
"Uttar Pradesh","Pratapgarh",48.9,6.9,58,19.6,1.6,0.7,10.2,4.9,2.5,89.1,67.2
"Uttar Pradesh","Prayagraj",46.4,6.3,50.5,17.3,0.7,2,7.9,3.1,4.3,85.4,70.6
"Uttar Pradesh","Rae Bareli",48.2,3.9,76.4,18.5,4,1.3,11.3,5.9,6.3,93.9,66.4
"Uttar Pradesh","Rampur",55.4,6.6,69.6,13.6,5.3,3.5,10.7,5.1,5.9,96.1,57.6
"Uttar Pradesh","Saharanpur",41.4,4.8,68.1,12.8,3.9,1.3,15.5,6.5,12.9,97.3,69.3
"Uttar Pradesh","Sambhal",51.3,3.5,69.8,16.1,2.1,4.3,14.2,4.8,5.6,95.7,56
"Uttar Pradesh","Sant Kabir Nagar",43.5,4.5,71.6,19.3,4.9,1.9,13,5.7,8.8,95.5,63.8
"Uttar Pradesh","Shahjahanpur",60.3,4.5,75.4,17.8,7.3,4.6,11.2,4.1,8.1,97.3,63.2
"Uttar Pradesh","Shamli",41.7,4.6,65.2,9.8,1.3,2.3,12.7,7,13.2,97.5,62.7
"Uttar Pradesh","Shrawasti",44.4,3.9,61.2,22.8,6.7,5.3,9.8,4.6,9.3,92.2,47
"Uttar Pradesh","Siddharth Nagar",51.2,4,75.8,25.8,4.3,3.7,11.8,5.3,14.5,97.1,57.7
"Uttar Pradesh","Sitapur",55.3,3.7,66.4,30.1,5.4,3.4,11.4,5.5,6.5,91.7,65
"Uttar Pradesh","Sonbhadra",44.5,5.1,63,20.9,2.9,6.9,12.9,5,17.4,93.6,62.1
"Uttar Pradesh","Sultanpur",50.2,5.6,62.3,20.8,1.3,1.1,13,5.8,2.5,94.5,68.9
"Uttar Pradesh","Unnao",48.9,4.4,76,22.6,2.3,2.2,13.5,5.7,5.1,88.8,69
"Uttar Pradesh","Varanasi",37.6,4.3,65.2,15.7,2.1,0,13.3,3.9,13.3,96.1,74.1
"Uttarakhand","Almora",33.4,5.3,57.7,15.6,4,1.7,13.6,8.2,6.1,96.3,72.3
"Uttarakhand","Champawat",32.5,3.3,43.1,14.6,0,1.9,12.9,5,5.8,98,75.9
"Uttarakhand","Haridwar",43.8,2.6,63.1,15.9,3.9,2.3,15,6.9,6.4,92.6,73.9
"Uttarakhand","Nainital",34.5,4.6,59.8,12.7,2.4,2,14.3,5.9,5.9,97.4,80.3
"Uttarakhand","Pithoragarh",25.5,3.5,36.2,11.5,0.5,3.7,14.8,6.7,6.9,100,79.7
"Uttarakhand","Rudra Prayag",40.6,5.7,52.4,8.8,0.9,1.8,12.7,4.4,2.4,97.1,73
"Uttarakhand","Tehri Garhwal",42.2,3.7,61.7,12.7,2.5,1.7,13,5.5,5.2,100,62.2
"Uttarakhand","Udam Singh Nagar",51,5.3,60.8,14.1,1.9,5.2,12.6,7.2,3.1,94.8,70.5
"Uttarakhand","Uttar Kashi",60.9,4.5,73.6,12.9,1.7,4.8,12.5,5,5.4,89.9,69
"West Bengal","Bankura",77,8.1,67.1,28,4.3,16,11.5,5.1,8.3,97.8,68.7
"West Bengal","Birbhum",77.7,8.7,76.5,20.5,4.7,25,10.7,4,5.6,95.2,73.6
"West Bengal","Coochbehar",74.8,8.3,66.4,18.1,2.5,27.3,12.8,6.1,5.2,98.5,75.7
"West Bengal","Dakshin Dinajpur",82,10.5,72.5,14.9,2.1,18.2,9.7,4.1,9.6,100,77.7
"West Bengal","Darjeeling",59.2,7,68.1,11.8,3.1,6.3,16.2,10.1,11.6,100,78.3
"West Bengal","Hooghly",75.1,8.8,67.9,14.1,0.8,13.2,12.2,5.4,5,100,81
"West Bengal","Howrah",65.3,9.5,67.7,10.3,5.6,9.4,13.6,6.8,10.5,96.2,82
"West Bengal","Jalpaiguri",71.4,7.9,67.4,15.8,2.1,11.8,12.6,6.3,7.3,98.3,73.7
"West Bengal","Kolkata",58.2,10.6,72.3,6.6,2.6,4.9,15.1,4.9,16.9,97.7,87.2
"West Bengal","Malda",73.6,8,71,15.7,2.3,18.9,11.4,5.5,6.3,100,71.3
"West Bengal","Murshidabad",77.6,8.9,72.1,19.9,2.4,20.6,10,5.3,3.7,97.7,74.7
"West Bengal","Nadia",73.4,11.1,63.6,8.3,3.3,15.1,11.3,5.3,7.5,100,77.6
"West Bengal","North 24 Parganas",65.3,9.7,57.9,6.5,2,11.5,11.1,5,5,97.7,82.4
"West Bengal","Paschim Bardhaman",65.8,8.5,74.7,18.4,2,15.4,9.6,4.3,8,95.9,74.8
"West Bengal","Paschim Medinipur",81.5,9.3,66,18.9,1.4,25,9.1,5,9.6,100,72.1
"West Bengal","Purba Bardhaman",77.9,8.1,71.5,16.3,5,21.9,11.5,5.7,5.4,100,71.2
"West Bengal","Purba Medinipur",70.4,8.8,67.5,16.5,3.8,22,9.6,4.7,3,100,83
"West Bengal","Purulia",76.7,10.1,77.9,33.7,4,12,9.6,3.9,7.9,96.6,63.6
"West Bengal","South 24 Parganas",61.6,7.2,70.4,9.9,1.6,13.1,13.5,5.6,11.8,100,80.9
"West Bengal","Uttar Dinajpur",72.4,8,77.2,16.5,4.3,12.7,10.4,3.9,7.2,97.5,68.1
