"State","District","Women.Age.Group.15.To.49.Years.Who.Are.Anaemic","Children.Age.Group.12.To.23.Months.Who.Have.Received.3.Doses.Of.Penta.Or.Diphtheria.Tetanus.Toxoids.And.Pertussis..Dtp..Vaccine","Children.Age.Group.12.To.23.Months.Who.Have.Received.3.Doses.Of.Rotavirus.Vaccine","Children.Age.Group.12.To.23.Months.Who.Have.Received.Bacillus.Calmette.Guerin..Bcg","Mothers.Who.Consumed.Iron.Folic.Acid.For.100.Days.Or.More.When.They.Were.Pregnant","Mothers.Who.Consumed.Iron.Folic.Acid.For.180.Days.Or.More.When.They.Were.Pregnant","Prevalence.Of.Symptoms.Of.Acute.Respiratory.Infection..Ari..In.The.2.Weeks.Preceding.The.Survey","Women.Age.15.Years.And.Above.Who.Consume.Alcohol","Women.Age.Group.15.To.24.Years.Who.Use.Hygienic.Methods.Of.Protection.During.Their.Menstrual.Period","Women.Age.Group.15.To.49.Years.Who.Are.Literate","Women.Mildly.Elevated.Blood.Pressure","Women.Moderately.Or.Severely.Elevated.Blood.Pressure"
"Rajasthan","Sikar",44,80.6,38,95.7,45.1,25.8,3.2,0.2,94,71.8,12.1,4.3
"Rajasthan","Sirohi",64,92.5,77.8,91.2,42.5,21.4,2.9,0.3,74.2,60.6,10.8,2.1
"Rajasthan","Tonk",52.8,90.5,60.9,94.4,33.5,11.6,5.7,0.5,82.2,55.2,9.9,4.8
"Rajasthan","Udaipur",60.5,90.2,76.4,95.3,44.7,17.4,1.8,0.3,85.7,62,10,3.2
"Sikkim","Gangtok",43.3,0,0,0,48.3,27.6,0.5,14.5,84.8,90.1,15.4,11
"Sikkim","Gyalshing",42.7,98.5,0,96.9,48.6,17.3,2.1,20.5,92.4,85.7,23,8.9
"Sikkim","Mangan",36.7,100,0,100,74,61.9,0.7,22.7,75.3,81.4,22.3,13.1
"Sikkim","Namchi",39.8,89.5,0,89.5,71.3,46.2,0,15,85.3,90.5,19.6,15.8
"Tamil Nadu","Dindigul",42.6,95.6,72.5,97.6,85.7,63.6,0.4,0.1,98.9,78.2,16.6,5.7
"Tamil Nadu","Theni",41.2,96.6,80.9,98.5,85.6,60.3,0.2,0.3,99.7,85.7,20,6.1
"Telangana","Adilabad",61.1,81.9,7.4,91.6,44.4,21.8,1.7,2.1,77.9,64.8,13,6.5
"Telangana","Bhadradri Kothagudem",68.7,93.7,8,98,62.5,42.3,1,2.9,92.9,68.7,16.8,6.6
"Telangana","Hanumakonda",57.9,83.3,1.6,89.2,63.7,38.9,4.3,2.9,96.4,76.9,10.8,5.6
"Telangana","Hyderabad",52.7,75.4,2.5,82.1,72.2,38.4,0.8,0.7,94.2,83.6,14.2,5.3
"Telangana","Jagitial",56.3,93.2,9,95.7,53.5,36.3,0.4,2.6,90.2,62.4,11.9,5.8
"Telangana","Jangoan",57.5,94.7,0,94.7,59.4,34.8,2.7,11.3,93.6,65.5,13.4,6.2
"Telangana","Jayashankar Bhupalapally",65.9,94,6.5,96.9,58.9,35.3,1.9,4.3,90.8,58.9,15.8,7.9
"Telangana","Jogulamba Gadwal",64.6,92.4,0,95.2,56.6,27.6,3.7,7.1,77.3,45,13,5.3
"Telangana","Kamareddy",58.9,86.8,9.2,94.3,56.1,28.3,1.4,16.7,88.3,58.6,14.3,6.8
"Telangana","Karimnagar",61.1,88.5,2.6,95.8,48.8,38.6,2.1,5.6,94.1,70.3,11.8,5.8
"Telangana","Khammam",62.4,92.4,2.7,95,66.7,34.9,9.3,1.3,95.4,66.3,14.9,6.6
"Telangana","Kumuram Bheem Asifabad",67.3,98,17.9,98,49,18.8,2.2,3,79.6,51.7,13.3,5.5
"Telangana","Mahabubabad",62.8,87.4,0,89.7,52.1,32.4,1.5,12.6,92.8,58,11.6,6.1
"Telangana","Mahabubnagar",54.7,96.5,0,98.2,69.1,45.5,2.4,8,95.6,59.6,14,5.6
"Telangana","Mancherial",56.7,92.7,4.9,100,68.1,49,1.1,1.9,88.1,69.5,14.7,6.7
"Telangana","Medak",54.4,87.6,21,93.2,41.8,23.4,1.2,23.8,89.3,57.7,13.7,6.6
"Telangana","Medchal Malkajgiri",56.8,88.4,1.3,87.1,60.8,31.8,4.1,2.4,97.1,79.5,13,5.7
"Telangana","Mulugu",65.9,94,6.5,96.9,58.9,35.3,1.9,4.3,90.8,58.9,15.8,7.9
"Telangana","Nagarkurnool",54,88.8,1.7,91.9,65.9,41.1,2.9,11.8,96.6,57.1,12.9,6.5
"Telangana","Nalgonda",54.3,91.2,2.9,94.1,66.8,40.1,5.2,7.4,96.9,62.6,10.4,4.8
"Telangana","Nirmal",57.7,89.5,17.2,100,58.7,34.6,0,3.5,78.7,58.6,13.4,6.1
"Telangana","Nizamabad",57,96.7,13.4,95,40.9,28.2,1.1,9.8,88.8,63.1,13.6,6.7
"Telangana","Peddapalli",64.6,97,0,100,61,41.9,2,4.2,93.2,73.7,13.4,6.4
"Telangana","Rajanna Sircilla",56,94.4,1.5,96.4,55.2,34,2.1,6.1,92.2,64.7,15.9,7.3
"Telangana","Ranga Reddy",53.2,89.2,0,94.1,48.2,26.6,1.1,6.7,95.3,72.1,14.8,7.9
"Telangana","Sangareddy",48.3,90.2,15.8,95,44,21.6,0.8,11.2,92.2,63.6,14.9,6.3
"Telangana","Siddipet",56.7,84.2,13.4,93,60.6,41.5,3.1,8.3,88.4,71,11.5,6.6
"Telangana","Suryapet",57.5,84.5,0,88.2,67.1,38.9,4.3,6.1,95.5,63.5,12.7,6.2
"Telangana","Vikarabad",61,90.7,3.4,98.4,37.2,24.4,2.5,17,93.3,59.3,15,7.8
"Telangana","Wanaparthy",58.7,91.9,0,97.3,64.3,38.8,1.7,8.7,95.5,52.1,13.5,4.8
"Telangana","Warangal",59.3,93,0,93,51.9,35.2,4.6,6.5,93.5,60.1,15.4,6.2
"Telangana","Yadadri Bhuvanagiri",53.8,87.2,5.1,95.2,60.5,35.7,1.1,12.9,94.8,68.4,12.5,6.8
"The Dadra And Nagar Haveli And Daman And Diu","Dadra And Nagar Haveli",64.4,100,3.8,100,65.1,40,0.3,1.4,96.3,72.8,6.8,3.9
"The Dadra And Nagar Haveli And Daman And Diu","Daman",60.8,87.3,2.5,91.2,38.4,20.8,0.5,0.6,86.3,85.9,9.4,4.6
"The Dadra And Nagar Haveli And Daman And Diu","Diu",50.3,100,7,100,79.9,51.2,0.5,0.4,89,90.8,9.9,3.1
"Tripura","Dhalai",70,89,68.4,97.6,26,8.8,1.5,7.5,63.2,71.6,9,3.5
"Tripura","Gomati",62.3,83.9,34.8,91.8,22,6.6,1.6,9.4,71.5,77.2,10.5,3.6
"Tripura","Khowai",63.7,87.7,63.7,96.1,38,16.6,2,9.6,69.2,80.5,11.3,5.2
"Tripura","North Tripura",69.3,77.5,50.9,93.1,17.3,3.8,0.7,6.1,74.2,83.1,9.8,4.5
"Tripura","Sepahijala",69.4,89.6,60.8,97.6,18.8,6.8,0.4,8.1,68.3,79.6,9.9,4.3
"Tripura","South Tripura",66.5,81.1,55.6,89,29.5,13.3,3.2,5.6,49.6,80.3,11.4,4.9
"Tripura","Unakoti",67.9,78,57.3,85.1,31.6,14.3,1.6,3.4,56.8,76.4,10.9,5.2
"Tripura","West Tripura",67.3,94.1,74.7,100,31.8,7.1,0.5,3.5,81.5,86.2,12.7,6.6
"Uttar Pradesh","Agra",59.4,92.2,45.6,99.1,20.9,11.3,4.5,0.6,76.5,63.1,10.3,5.2
"Uttar Pradesh","Aligarh",56.5,78.6,69.5,93.3,25.2,12.6,3.2,0.1,79.6,66,11.8,4.3
"Uttar Pradesh","Ambedkar Nagar",52.7,84.9,55.6,90,25.2,11.6,1.6,0.2,77.5,76.2,9.1,5.6
"Uttar Pradesh","Amethi",46.1,82,65.2,96.8,15.9,10.4,3.7,0.4,71.8,63.3,12.7,5
"Uttar Pradesh","Amroha",47.6,86.1,61.1,95.3,23.5,4.2,0.4,0.4,74,61.2,13.4,4.2
"Uttar Pradesh","Auraiya",39.1,89.4,74.5,95.6,23.7,10.7,3.2,0.3,77.1,74.9,14.1,5.1
"Uttar Pradesh","Ayodhya",52.3,86.4,62.7,88.6,20.8,9.8,0.7,0.2,71,73.8,8.9,4
"Uttar Pradesh","Azamgarh",54.3,82.1,43.2,92.2,19.4,9.9,1.8,0.3,79.3,76.5,12,5.4
"Uttar Pradesh","Baghpat",53.3,91.5,81.2,92.8,33.8,8.6,0.6,0.3,81.4,76.3,13.3,6
"Uttar Pradesh","Bahraich",48.8,64.2,35.2,89.4,22.4,14.2,6.6,0.6,48.4,38.8,13.4,7.4
"Uttar Pradesh","Ballia",52.2,69.4,31.5,96.8,15.8,2.8,7.1,0.5,71.6,70,10.6,3.8
"Uttar Pradesh","Balrampur",53.7,67.5,34,86.4,23.9,12.4,5.4,0.4,53,43.2,13.7,7.1
"Uttar Pradesh","Banda",52.2,73.5,39.3,95,18,2.4,3.5,0.5,52.6,57,12.5,4.6
"Uttar Pradesh","Barabanki",55.3,78.3,30.1,94.9,12.5,5.3,4.8,0.2,58.1,56.1,11.1,6
"Uttar Pradesh","Bareilly",60.8,85.8,57.4,95.4,18,6.1,2.5,0.1,71.9,53.9,10.9,4.2
"Uttar Pradesh","Basti",39.9,76.3,45.6,93.1,15.9,7.2,7.7,0.2,73.3,63.2,11.2,6
"Uttar Pradesh","Bhadohi",43.8,78.6,59.1,87.8,12.9,5.7,1.6,0.1,74.8,69.7,9.3,4.1
"Uttar Pradesh","Bijnor",46,92.6,87,96.7,21.8,6.2,1.7,0.2,77,72.8,13.2,4.5
"Uttar Pradesh","Budaun",55.3,82.6,35.5,93.9,15.9,1.9,4.2,0.5,58.8,49.7,8.6,3.4
"Uttar Pradesh","Bulandshahr",52,80,65.6,92.9,30.4,7.8,1.8,0.2,79,69.2,13,6.4
"Uttar Pradesh","Chandauli",48.7,82.6,64,90.2,26.3,15.1,1.2,0.4,80.6,70.6,11.5,5.8
"Uttar Pradesh","Chitrakoot",46.6,76.8,54.5,84.8,13.4,7.2,1.9,0.5,55.8,56.2,8.4,3.1
"Uttar Pradesh","Deoria",33.8,79,61.7,92.6,13.8,7.4,1.6,0.3,76.9,71.3,10.3,5.8
"Uttar Pradesh","Etah",55.4,75,19.1,98.1,20,4.7,9.1,0.6,64.5,67.8,11.2,3.6
"Uttar Pradesh","Etawah",57.4,88,32.2,100,28.7,13.1,4.8,0.1,76.5,77.4,11.8,3.9
"Uttar Pradesh","Farrukhabad",56.9,82.7,34.7,95.3,24.5,10.5,4.1,0.3,61,63.1,9.1,3.4
"Uttar Pradesh","Fatehpur",63,76,20.2,90,17.7,6.8,1.9,0.8,70.4,62.3,10.5,4.3
"Uttar Pradesh","Firozabad",57.1,79.4,19.7,94.9,14.9,4.6,3.9,0.3,70,71.4,11.9,5
"Uttar Pradesh","Ghaziabad",55.2,79.1,64.7,90.2,47.8,22.6,0.8,0.1,91.7,80.1,10.3,6.4
"Uttar Pradesh","Ghazipur",45.7,71,33.9,95.8,10.6,2.1,5.3,0.2,77.6,72.4,9.1,3
"Uttar Pradesh","Gonda",49.3,70.5,21.1,90.5,17.2,12,11.2,0.4,61.4,57.7,12.2,6.1
"Uttar Pradesh","Gorakhpur",52.9,78.3,58.3,97.2,29.3,17,3.9,0.1,78.3,68.8,10.2,4.6
"Uttar Pradesh","Hamirpur",46.1,86.6,45,97.5,27.1,11.5,2.7,0.2,77.4,69.4,13.7,2.3
"Uttar Pradesh","Hapur",50.6,94.3,83.6,97.2,29,12.6,2,0.1,88.6,73.7,15.6,6.3
"Uttar Pradesh","Hardoi",59.7,76.8,37.5,88.7,23.8,13.2,3.4,0.1,63.8,55,11.9,4.4
"Uttar Pradesh","Hathras",58.2,85.2,27.6,95.1,15,6.5,7.6,0.5,66.9,65.5,13.6,6.3
"Uttar Pradesh","Jalaun",44.2,71.6,32,90.3,20.5,11.4,0.8,0.2,80.1,66.8,11.5,3.6
"Uttar Pradesh","Jaunpur",34,79.9,47.1,91.4,14.8,7.5,4.8,0.6,83.5,75.9,10.2,3.8
"Uttar Pradesh","Jhansi",41.3,69.2,30.3,94,24.7,13.1,3.4,0.3,82.1,69.2,11.7,2.4
"Uttar Pradesh","Kannauj",65.2,73.2,20.6,92.7,25.4,10.5,3.5,0.3,66.5,64.8,8.9,3.2
"Uttar Pradesh","Kanpur Dehat",54.9,69,24.2,85.5,24,13.7,1.5,0.4,76.2,70.8,7.2,3.7
"Uttar Pradesh","Kanpur Nagar",57,74.7,23.7,93.7,26.6,14.1,3.9,0.3,87.6,81.3,10.1,4.4
"Uttar Pradesh","Kasganj",64.6,82.4,26.4,94.9,22.4,7.2,6.1,0.4,55.4,56.4,9.3,4.8
"Uttar Pradesh","Kaushambi",54.4,73.8,57.2,92,21.3,11.5,1.8,0.2,67.1,58.6,5,3.4
"Uttar Pradesh","Kheri",53,77.5,56.4,88.3,12,7.8,1.3,0.2,58.1,57.5,12.8,5.7
"Uttar Pradesh","Kushi Nagar",42.3,85,44.1,91.9,17.8,9.7,5.9,0.2,77.3,62.5,9.3,4.6
"Uttar Pradesh","Lalitpur",38.1,80.9,38.9,94.7,26.8,9.9,0.8,0.7,63.8,55.3,10.7,4.7
"Uttar Pradesh","Mahoba",49.4,78.4,54.3,90.8,27.7,13.7,4,0.2,77.9,65.6,10.9,3.2
"Uttar Pradesh","Mahrajganj",47.1,92.4,68.5,96.8,26.5,12.2,4.2,0.3,80.6,62,11.3,5.2
"Uttar Pradesh","Mainpuri",57.8,86.1,22.1,94.5,16.2,3,4.9,0.5,71.3,74.2,9.7,3.3
"Uttar Pradesh","Mathura",63,91.7,23.9,98.3,14.1,3.7,6.4,0.1,74.7,64.4,13,6.2
"Uttar Pradesh","Mau",44.3,74.6,41.3,98.8,27.6,13.4,2.6,0.4,76.6,72,16.3,5.2
"Uttar Pradesh","Meerut",45.5,91.6,79.5,97.8,35.5,13.8,2,0.2,83.6,79,12.6,5.5
"Uttar Pradesh","Mirzapur",42.1,77.7,55.5,92.9,11.6,3.3,2.6,0.1,75.4,70.9,13.7,6.3
"Uttar Pradesh","Moradabad",44.9,90.2,61.2,97.2,17.2,2.9,2.2,0.3,78.5,66.7,13.6,6.4
"Uttar Pradesh","Muzaffarnagar",46,75.5,62.2,91.1,34.5,8.4,0.5,0.3,78.1,72.1,14.9,5
"Uttar Pradesh","Pilibhit",52,94,70.2,97,26.3,4.8,3.7,0.2,71.1,54.7,11.8,5.5
"Uttar Pradesh","Pratapgarh",48.9,82.8,42.8,89.1,22.8,8.2,1.6,0.5,69.1,74.8,10.2,4.9
"Uttar Pradesh","Prayagraj",46.4,67.2,53.6,85.4,22.3,12,0.7,0.2,79.9,67.7,7.9,3.1
"Uttar Pradesh","Rae Bareli",48.2,81.8,27.2,93.9,16,4.8,4,0.5,70.9,62.8,11.3,5.9
"Uttar Pradesh","Rampur",55.4,88.7,61.8,96.1,32.7,12.5,5.3,0.1,74.3,57,10.7,5.1
"Uttar Pradesh","Saharanpur",41.4,92.9,56.9,97.3,25.7,7.5,3.9,0.5,76.7,71.2,15.5,6.5
"Uttar Pradesh","Sambhal",51.3,89.6,73.5,95.7,21.3,5.6,2.1,0.2,60.2,51.3,14.2,4.8
"Uttar Pradesh","Sant Kabir Nagar",43.5,87.8,37.7,95.5,23.8,9.8,4.9,0.3,63.4,61.3,13,5.7
"Uttar Pradesh","Shahjahanpur",60.3,88.1,48.6,97.3,24.5,5.8,7.3,0.2,59.6,56.8,11.2,4.1
"Uttar Pradesh","Shamli",41.7,91.1,76.9,97.5,25,6.7,1.3,0.3,74.1,64.2,12.7,7
"Uttar Pradesh","Shrawasti",44.4,76.1,33.4,92.2,16.6,8.8,6.7,0.3,47.4,39.1,9.8,4.6
"Uttar Pradesh","Siddharth Nagar",51.2,77.1,53.6,97.1,31.7,17.9,4.3,0.2,63,48.3,11.8,5.3
"Uttar Pradesh","Sitapur",55.3,81.8,51.4,91.7,18,9.6,5.4,0.1,55.5,53.4,11.4,5.5
"Uttar Pradesh","Sonbhadra",44.5,83.6,51.4,93.6,28,12.5,2.9,0.6,68.9,60.9,12.9,5
"Uttar Pradesh","Sultanpur",50.2,87.8,55.5,94.5,27.8,12.4,1.3,0.1,74.8,71.9,13,5.8
"Uttar Pradesh","Unnao",48.9,71.5,26.2,88.8,18.6,9.6,2.3,0.3,65.4,64.4,13.5,5.7
"Uttar Pradesh","Varanasi",37.6,84.3,48.4,96.1,30.1,10.7,2.1,0.4,85.6,79,13.3,3.9
"Uttarakhand","Almora",33.4,85.1,19.6,96.3,38.6,20.9,4,0.1,88.6,86.3,13.6,8.2
"Uttarakhand","Champawat",32.5,97.2,46.7,98,57.7,30.7,0,0.2,94.4,83.8,12.9,5
"Uttarakhand","Haridwar",43.8,86.2,23.2,92.6,38.2,21.8,3.9,0.4,85.4,73.7,15,6.9
"Uttarakhand","Nainital",34.5,87.7,20.3,97.4,45.7,29.4,2.4,0.4,90.7,83.9,14.3,5.9
"Uttarakhand","Pithoragarh",25.5,100,43.4,100,52.6,24.3,0.5,0.3,94.6,87.6,14.8,6.7
"Uttarakhand","Rudra Prayag",40.6,95.7,43.6,97.1,51.9,28.7,0.9,0.2,96.8,86.1,12.7,4.4
"Uttarakhand","Tehri Garhwal",42.2,98.6,10.4,100,57.6,27.5,2.5,0.2,93.7,74.9,13,5.5
"Uttarakhand","Udam Singh Nagar",51,90.1,43.9,94.8,45.7,23.2,1.9,0.4,93.6,70.4,12.6,7.2
"Uttarakhand","Uttar Kashi",60.9,94.3,44.4,89.9,46.9,18.9,1.7,0.5,90.2,80.1,12.5,5
"West Bengal","Bankura",77,93.7,6.4,97.8,60.5,23.3,4.3,0.6,79,68.3,11.5,5.1
"West Bengal","Birbhum",77.7,98.4,0,95.2,51.5,16.2,4.7,1.7,79.3,70.8,10.7,4
"West Bengal","Coochbehar",74.8,94.2,0,98.5,58.8,28.3,2.5,0.3,83.5,79.2,12.8,6.1
"West Bengal","Dakshin Dinajpur",82,96.7,0,100,76.2,36.2,2.1,2.3,76.6,74.3,9.7,4.1
"West Bengal","Darjeeling",59.2,98.3,5.4,100,62.2,30.1,3.1,5.8,92.7,77,16.2,10.1
"West Bengal","Hooghly",75.1,95.4,2.2,100,68.1,42.3,0.8,1.5,86.5,77.4,12.2,5.4
"West Bengal","Howrah",65.3,93.4,3.9,96.2,69.2,33.1,5.6,0.7,94.1,80.5,13.6,6.8
"West Bengal","Jalpaiguri",71.4,94.8,0,98.3,70.7,29,2.1,2.8,82.3,73.6,12.6,6.3
"West Bengal","Kolkata",58.2,91,2.8,97.7,67.5,33.8,2.6,1,97.5,87.6,15.1,4.9
"West Bengal","Malda",73.6,94.1,0,100,58.8,27.8,2.3,0.3,83.6,72.3,11.4,5.5
"West Bengal","Murshidabad",77.6,95.4,1.4,97.7,52.8,30.6,2.4,0.9,85.7,67.6,10,5.3
"West Bengal","Nadia",73.4,97.3,0,100,57.9,23.8,3.3,0.4,83.4,76.2,11.3,5.3
"West Bengal","North 24 Parganas",65.3,97.7,2.2,97.7,73.3,35.7,2,0.4,89.6,85.5,11.1,5
"West Bengal","Paschim Bardhaman",65.8,90.8,0,95.9,57,30.8,2,0.8,84.4,73.5,9.6,4.3
"West Bengal","Paschim Medinipur",81.5,93.7,0,100,64.3,31.9,1.4,1.5,67.3,70.9,9.1,5
"West Bengal","Purba Bardhaman",77.9,100,0,100,68.3,33.6,5,1.2,80.4,73.2,11.5,5.7
"West Bengal","Purba Medinipur",70.4,91.7,9.5,100,51.6,32.9,3.8,2,78.4,77,9.6,4.7
"West Bengal","Purulia",76.7,91.6,3.3,96.6,53.4,26.4,4,1.1,72.7,61,9.6,3.9
"West Bengal","South 24 Parganas",61.6,94.9,1.7,100,67.2,32.7,1.6,0.4,80.3,85.6,13.5,5.6
"West Bengal","Uttar Dinajpur",72.4,92.4,0,97.5,59.3,28.9,4.3,1.7,79.6,65.4,10.4,3.9
